Distrito;LONGITUD;LATITUD
Barranco;-77.68269231;-10.714926
Huaura;-77.4452241;-11.00359043
Cochamarca;-77.12792023;-10.88355617
Ambar;-77.26775784;-10.78231145
Gorgor;-76.99191087;-10.6216407
Lima;-77.04903773;-12.05105543
Miraflores;-77.02908841;-12.12079339
Magadalena del Mar;-77.06701479;-12.09457817
San Luis;-76.99729845;-12.07410485
Santa Anita;-76.96325301;-12.04323558
Surquillo;-77.0129896;-12.11340137
Breña;-77.05063665;-12.05914411
Santa Rosa De Quives;-77.16332166;-11.80488662
Lampian;-76.86383246;-11.24733246
San Miguel de Acos;-76.76750344;-11.29297049
Santa Cruz de Andamarca;-76.56552186;-11.14701877
Azángaro;-75.82556318;-13.0090799
Carania;-75.88164012;-12.3558661
Huampara;-76.19059887;-12.35429549
Huancaya;-75.83480018;-12.09036503
Huantán;-75.70407842;-12.51306806
Laraos;-75.67619131;-12.38449007
Miraflores;-75.88921587;-12.23464186
Omas;-76.2507972;-12.47630306
Quinocay;-76.28431739;-12.35063816
Vitis;-75.85742054;-12.16953869
San Juan de Miraflores;-76.96652384;-12.15782036
Santiago de Surco;-76.98451881;-12.12722618
Villa El Salvador;-76.94544131;-12.21917489
El Agustino;-76.98754193;-12.04012476
Los Olivos;-77.07437769;-11.97251865
Quilmaná;-76.34527691;-12.86956875
Huaral;-77.17110498;-11.38708314
Chancay;-77.29183287;-11.50113072
Sumbilca;-76.85542526;-11.3943984
Antioquía;-76.58912179;-12.0615574
Callahuanca;-76.57530353;-11.81370606
Huarochirí;-76.27257383;-12.06945763
Carabayllo;-76.97295461;-11.80742265
Pucusana;-76.77598778;-12.46623572
Punta Negra;-76.70943138;-12.30362425
Mariatana;-76.3653203;-12.26163693
San Bartolomé;-76.5014098;-11.9140806
San Juan de Iris;-76.46909066;-11.7189686
San Mateo;-76.21898285;-11.81978469
San Pedro de Huancayre;-76.19663805;-12.08670915
Santiago de Tuna;-76.52845972;-11.97806168
Hongos;-75.67283811;-12.76649359
Tupe;-75.73609814;-12.69029053
Viñac;-75.77042743;-12.88755923
Atavillos Bajo;-76.76105371;-11.34645363
Chilca;-76.62994252;-12.42981709
Hualmay;-77.60695152;-11.09277772
Cacra;-75.74796848;-12.76622586
Huaros;-76.5023986;-11.40131319
Caujul;-76.98668703;-10.75640129
Paramonga;-77.74216593;-10.48644965
Supe;-77.56230614;-10.80961154
Supe Puerto;-77.72568019;-10.78524661
Leoncio Prado;-76.91853999;-11.05080925
Yauyos;-75.9551075;-12.47257331
Alis;-75.70396486;-12.28878263
Huancapón;-77.10893262;-10.52169191
Manás;-77.22080863;-10.6123677
Checras;-76.85548041;-10.92169775
Santa Leonor;-76.67122216;-10.96275516
Cajatambo;-76.94383975;-10.4551401
Copa;-77.02337878;-10.36447957
Lurigancho;-76.79420735;-11.95574569
San Borja;-76.99526273;-12.0975356
San Miguel;-77.09008964;-12.07659875
Rímac;-77.03258791;-12.02359745
Independencia;-77.04600844;-11.98747733
San Isidro;-77.03677239;-12.09900105
Barranco;-77.02087866;-12.144073
Pacaraos;-76.66484449;-11.12714242
Ayauca;-76.03835785;-12.6400707
Huañec;-76.07949785;-12.2748033
Madean;-75.69833499;-12.96113965
Quinches;-76.09174035;-12.31154747
Tauripampa;-76.18144406;-12.68317483
Puente Piedra;-77.08676868;-11.87208846
San Martín de Porres;-77.08850444;-11.99276597
Comas;-77.03891613;-11.92909986
La Molina;-76.92589846;-12.08799934
Imperial;-76.36961964;-13.03309176
Santa Cruz de Flores;-76.64620134;-12.54989102
Carampoma;-76.38304191;-11.6397024
Chicla;-76.24379792;-11.66449883
Huachupampa;-76.59579753;-11.69685486
Pachacamac;-76.8098705;-12.16000118
Punta Hermosa;-76.74374501;-12.26924514
Lahuaytambo;-76.39187995;-12.09328268
Ricardo Palma;-76.62291481;-11.93781924
San Mateo de Otao;-76.53043167;-11.84059377
Sangallaya;-76.26270671;-12.2191485
Santiago de Anchucaya;-76.19960483;-12.03191815
Santo Domingo de Los Olleros;-76.53620492;-12.26131959
Catahuasi;-75.88200258;-12.74278402
Chocos;-75.92405784;-12.92238642
Huangascar;-75.82184963;-12.9415583
Lincha;-75.63069154;-12.81094406
Putinza;-75.9227622;-12.66651249
Canta;-76.58229732;-11.4753066
Calango;-76.45461715;-12.48706605
Cerro Azul;-76.46471319;-12.96590365
Coayllo;-76.40672253;-12.65871762
Nuevo Imperial;-76.25857629;-12.96049595
San Antonio;-76.67418212;-12.61316601
San Luis;-76.42371804;-13.05199404
Atavillos Alto;-76.59517104;-11.27749718
Aucallama;-77.04995024;-11.51774501
Santa María del Mar;-76.76730878;-12.40871159
Asia;-76.51123808;-12.79672829
San Bartolomé;-76.72414426;-12.36938189
Huacho;-77.49276783;-11.27166065
Caleta de Carquín;-77.62002251;-11.08798085
Santa María;-77.47327279;-11.11613502
Lachaqui;-76.6115961;-11.5556347
Andajes;-76.92715017;-10.77760315
Navan;-77.046644;-10.85716676
Paccho;-76.97183757;-10.96586628
Sayan;-77.23380384;-11.14586363
Vegueta;-77.60411629;-10.95019229
Oyon;-76.75772188;-10.66939884
Pachangara;-76.79755387;-10.83786436
Pativilca;-77.6859585;-10.6233603
Jesús María;-77.04824206;-12.07808946
Lince;-77.03569134;-12.08576988
Pueblo Libre;-77.06578913;-12.07508046
San Juan de Lurigancho;-76.97146424;-11.94594743
La Victoria;-77.01737149;-12.07231846
Veintisiete de Noviembre;-76.77281749;-11.14885591
Ayaviri;-76.04229526;-12.36546017
Cochas;-76.19569947;-12.28583698
San Joaquín;-76.10552493;-12.24582916
Tanta;-75.9913299;-12.13203991
Tomas;-75.70682916;-12.1639276
Ancón;-77.09589014;-11.7025685
Ate;-76.87732554;-12.03266332
Chaclacayo;-76.7669698;-11.99164049
Villa María del Triunfo;-76.91899703;-12.17030367
Mala;-76.60166864;-12.65347505
Matucana;-76.3794308;-11.8161478
Cuenca;-76.45691931;-12.15652947
Huanza;-76.44365201;-11.56114339
Cieneguilla;-76.77745997;-12.07654603
Lurín;-76.80155727;-12.23434835
Langa;-76.37567972;-12.15927951
Laraos;-76.53170355;-11.58518262
San Andrés de Tupicocha;-76.45803866;-11.98806087
San Antonio;-76.77355958;-11.81664912
San Damian;-76.33298991;-11.96447098
San Juan de Tantaranche;-76.15698982;-11.99292483
San Lorenzo de Quinti;-76.11885495;-12.10894478
San Pedro de Casta;-76.55512272;-11.7650408
Santa Cruz de Cocachacra;-76.56077006;-11.92596979
Santa Eulalia;-76.64899142;-11.85835043
Surco;-76.44535794;-11.87711226
Arahuay;-76.67510491;-11.64071224
Lunahuaná;-76.11738239;-13.01933334
Pacarán;-76.0704285;-12.89790226
Zúñiga;-76.01406295;-12.82986655
Ihuari;-76.9608768;-11.1872835
Chorrillos;-77.00598629;-12.19264629
Colonia;-75.84598055;-12.58427033
San Vicente de Cañete;-76.257567;-13.17193731
Huamantanga;-76.84381844;-11.55034706
San Buenaventura;-76.66293859;-11.44050294
Santa Rosa de Quives;-76.84314809;-11.6710382
